Id,GrLivArea,SalePrice,LotArea,TotalBsmtSF,OverallQual,Neighborhood,SaleCondition,n_outlier_flags,flagged_features,reason
1299,5642,160000,63887,6110,10,Edwards,Partial,9,"GrLivArea,TotalBsmtSF,1stFlrSF,LotArea,GarageArea,MasVnrArea,BsmtFinSF1,OpenPorchSF,LotFrontage",leverage: huge GrLivArea sold cheap (recommend REMOVE)
524,4676,184750,40094,3138,10,Edwards,Partial,8,"GrLivArea,TotalBsmtSF,1stFlrSF,LotArea,MasVnrArea,BsmtFinSF1,OpenPorchSF,LotFrontage",leverage: huge GrLivArea sold cheap (recommend REMOVE)
692,4316,755000,21535,2444,10,NoRidge,Normal,7,"SalePrice,GrLivArea,TotalBsmtSF,1stFlrSF,2ndFlrSF,LotArea,MasVnrArea",multivariate: IQR-outlier on 7 features (review)
1183,4476,745000,15623,2396,10,NoRidge,Abnorml,7,"SalePrice,GrLivArea,TotalBsmtSF,1stFlrSF,2ndFlrSF,BsmtFinSF1,LotFrontage",multivariate: IQR-outlier on 7 features (review)
179,2234,501837,17423,2216,9,StoneBr,Partial,6,"SalePrice,TotalBsmtSF,1stFlrSF,GarageArea,MasVnrArea,BsmtFinSF1",multivariate: IQR-outlier on 6 features (review)
1170,3627,625000,35760,1930,10,NoRidge,Normal,5,"SalePrice,GrLivArea,LotArea,MasVnrArea,LotFrontage",multivariate: IQR-outlier on 5 features (review)
899,2364,611657,12919,2330,9,NridgHt,Partial,5,"SalePrice,TotalBsmtSF,1stFlrSF,MasVnrArea,BsmtFinSF1",multivariate: IQR-outlier on 5 features (review)
770,3279,538000,53504,1650,8,StoneBr,Normal,5,"SalePrice,GrLivArea,LotArea,MasVnrArea,WoodDeckSF",multivariate: IQR-outlier on 5 features (review)
665,2097,423000,20896,2077,8,Somerst,Partial,5,"SalePrice,TotalBsmtSF,LotArea,GarageArea,OpenPorchSF",multivariate: IQR-outlier on 5 features (review)
225,2392,386250,13472,2392,10,NridgHt,Normal,5,"SalePrice,TotalBsmtSF,1stFlrSF,GarageArea,MasVnrArea",multivariate: IQR-outlier on 5 features (review)
826,2084,385000,14803,2078,10,NridgHt,Partial,5,"SalePrice,TotalBsmtSF,GarageArea,MasVnrArea,LotFrontage",multivariate: IQR-outlier on 5 features (review)
804,2822,582933,13891,1734,9,NridgHt,Partial,4,"SalePrice,GrLivArea,GarageArea,MasVnrArea",multivariate: IQR-outlier on 4 features (review)
186,3608,475000,22950,1107,10,OldTown,Normal,4,"SalePrice,GrLivArea,LotArea,OpenPorchSF",multivariate: IQR-outlier on 4 features (review)
1374,2633,466500,11400,2633,10,NoRidge,Normal,4,"SalePrice,TotalBsmtSF,1stFlrSF,MasVnrArea",multivariate: IQR-outlier on 4 features (review)
497,3228,430000,12692,3200,8,NoRidge,Normal,4,"SalePrice,GrLivArea,TotalBsmtSF,1stFlrSF",multivariate: IQR-outlier on 4 features (review)
232,2794,403000,15138,1462,8,NoRidge,Normal,4,"SalePrice,GrLivArea,MasVnrArea,LotFrontage",multivariate: IQR-outlier on 4 features (review)
662,2448,402000,46589,1629,8,NoRidge,Normal,4,"SalePrice,LotArea,MasVnrArea,WoodDeckSF",multivariate: IQR-outlier on 4 features (review)
54,1842,385000,50271,1842,9,Veenker,Normal,4,"SalePrice,LotArea,BsmtFinSF1,WoodDeckSF",multivariate: IQR-outlier on 4 features (review)
1269,3447,381000,14100,728,8,Crawfor,Normal,4,"SalePrice,GrLivArea,GarageArea,MasVnrArea",multivariate: IQR-outlier on 4 features (review)
314,2036,375000,215245,2136,7,Timber,Normal,4,"SalePrice,TotalBsmtSF,LotArea,LotFrontage",multivariate: IQR-outlier on 4 features (review)
962,2872,272000,12227,1330,6,NWAmes,Normal,4,"GrLivArea,MasVnrArea,WoodDeckSF,OpenPorchSF",multivariate: IQR-outlier on 4 features (review)
71,2223,244000,13651,2223,7,NAmes,Normal,4,"TotalBsmtSF,1stFlrSF,MasVnrArea,BsmtFinSF1",multivariate: IQR-outlier on 4 features (review)
441,2402,555000,15431,3094,10,NridgHt,Normal,3,"SalePrice,TotalBsmtSF,1stFlrSF",multivariate: IQR-outlier on 3 features (review)
799,3140,485000,13518,1926,9,NridgHt,Partial,3,"SalePrice,GrLivArea,MasVnrArea",multivariate: IQR-outlier on 3 features (review)
1244,2076,465000,13891,2076,10,NridgHt,Partial,3,"SalePrice,TotalBsmtSF,OpenPorchSF",multivariate: IQR-outlier on 3 features (review)
592,2296,451950,13478,1722,10,NridgHt,Normal,3,"SalePrice,MasVnrArea,OpenPorchSF",multivariate: IQR-outlier on 3 features (review)
59,2945,438780,13682,1410,10,StoneBr,Partial,3,"SalePrice,GrLivArea,MasVnrArea",multivariate: IQR-outlier on 3 features (review)
350,2728,437154,20431,1848,9,NridgHt,Partial,3,"SalePrice,LotArea,MasVnrArea",multivariate: IQR-outlier on 3 features (review)
1143,2828,424870,9965,1466,8,CollgCr,Partial,3,"SalePrice,GrLivArea,GarageArea",multivariate: IQR-outlier on 3 features (review)
1354,3238,410000,14720,2033,8,NoRidge,Normal,3,"SalePrice,GrLivArea,MasVnrArea",multivariate: IQR-outlier on 3 features (review)
478,2643,380000,13693,2153,9,NridgHt,Normal,3,"SalePrice,TotalBsmtSF,MasVnrArea",multivariate: IQR-outlier on 3 features (review)
1229,1702,367294,8769,1702,9,NridgHt,Partial,3,"SalePrice,GarageArea,MasVnrArea",multivariate: IQR-outlier on 3 features (review)
655,2113,350000,10437,2109,8,NoRidge,Normal,3,"SalePrice,TotalBsmtSF,MasVnrArea",multivariate: IQR-outlier on 3 features (review)
719,2418,341000,10542,1311,7,NoRidge,Normal,3,"SalePrice,GarageArea,MasVnrArea",multivariate: IQR-outlier on 3 features (review)
160,2462,320000,19378,1392,7,Gilbert,Partial,3,"LotArea,MasVnrArea,LotFrontage",multivariate: IQR-outlier on 3 features (review)
1045,2524,278000,9600,2524,8,NWAmes,Normal,3,"TotalBsmtSF,1stFlrSF,WoodDeckSF",multivariate: IQR-outlier on 3 features (review)
1424,2201,274970,19690,697,6,Edwards,Alloca,3,"LotArea,WoodDeckSF,OpenPorchSF",multivariate: IQR-outlier on 3 features (review)
889,2217,268000,15865,2217,8,NAmes,Normal,3,"TotalBsmtSF,1stFlrSF,OpenPorchSF",multivariate: IQR-outlier on 3 features (review)
198,3112,235000,25419,1360,8,NAmes,Abnorml,3,"GrLivArea,LotArea,LotFrontage",multivariate: IQR-outlier on 3 features (review)
808,1576,223500,21384,1324,5,BrkSide,Normal,3,"LotArea,OpenPorchSF,LotFrontage",multivariate: IQR-outlier on 3 features (review)
1174,3086,200500,18030,1598,5,ClearCr,Normal,3,"GrLivArea,LotArea,LotFrontage",multivariate: IQR-outlier on 3 features (review)
1288,1582,190000,36500,1624,5,ClearCr,Normal,3,"LotArea,MasVnrArea,OpenPorchSF",multivariate: IQR-outlier on 3 features (review)
1185,1572,186700,35133,1572,5,Timber,Normal,3,"LotArea,GarageArea,OpenPorchSF",multivariate: IQR-outlier on 3 features (review)
1191,1622,168000,32463,1249,4,Mitchel,Normal,3,"LotArea,GarageArea,WoodDeckSF",multivariate: IQR-outlier on 3 features (review)
1062,894,81000,18000,894,3,IDOTRR,Normal,3,"LotArea,GarageArea,LotFrontage",multivariate: IQR-outlier on 3 features (review)
