feature,vif,r_squared,n_features_used,note
qual_total_sf,341.0791859039302,0.9970681295097213,47,high_multicollinearity
qual_gr_liv_area,293.9061507193232,0.9965975533429547,47,high_multicollinearity
total_sf,147.2407410288661,0.993208401472226,47,high_multicollinearity
gr_liv_area,136.96907133426092,0.9926990816958992,47,high_multicollinearity
age_at_sale,42.78272853197529,0.9766260817317294,47,high_multicollinearity
age_qual_interaction,34.86412904675066,0.9713172241113764,47,high_multicollinearity
overall_qual,30.325138603682664,0.9670240583870386,47,high_multicollinearity
mo_sold,11.674778085162004,0.9143452669759141,47,high_multicollinearity
sale_quarter,11.652415297725135,0.9141808822935424,47,high_multicollinearity
has_garage,10.138463284806162,0.9013657226042695,47,high_multicollinearity
garage_qual,10.102680950417833,0.9010163732866728,47,high_multicollinearity
has_basement,6.54563624351053,0.8472264631277946,47,moderate_multicollinearity
has_fireplace,6.380286584695641,0.8432672284033926,47,moderate_multicollinearity
fireplaces,6.328427828322784,0.8419828704493532,47,moderate_multicollinearity
bsmt_qual,5.322546008083978,0.8121199894784973,47,moderate_multicollinearity
yr_sold,5.00647279817797,0.8002585771835343,47,moderate_multicollinearity
mortgage_rate,4.90674915421954,0.7961990783368141,47,ok
bsmt_cond,4.516456968929376,0.7785875063397206,47,ok
exter_qual,3.2701300042530517,0.6942017599607893,47,ok
days_on_market,3.1263033878493713,0.6801334112720537,47,ok
garage_cars,3.0848075385102836,0.6758306677106604,47,ok
total_bath,2.9528910021737778,0.6613488275510855,47,ok
years_since_remodel,2.7725993633481503,0.6393276240270016,47,ok
kitchen_qual,2.7295613033796458,0.6336407616997517,47,ok
garage_finish,2.3525266239539904,0.5749251082569012,47,ok
distance_to_center,2.304133382965108,0.5659973474655641,47,ok
bedroom_abv_gr,2.0012463391869124,0.5003113907474825,47,ok
overall_cond,1.9913863765028477,0.49783727969649993,47,ok
bsmt_fin_type_1,1.7775396172269105,0.43742463441682844,47,ok
total_porch_sf,1.7097020941002918,0.41510278109225995,47,ok
heating_qc,1.7014072865108782,0.4122512534604651,47,ok
has_porch,1.657369287062859,0.3966341672879853,47,ok
lot_area,1.6104065527381721,0.3790387909812579,47,ok
bsmt_exposure,1.5274216220674628,0.34530192217232325,47,ok
kitchen_abv_gr,1.4825349111989614,0.3254796278684081,47,ok
paved_drive,1.471892212929816,0.3206024250855366,47,ok
mas_vnr_area,1.438880283113245,0.30501514842058863,47,ok
land_slope,1.416517849371876,0.294043488090582,47,ok
lot_frontage,1.3974663436725947,0.28441926023637754,47,ok
is_new_house,1.3595460347656334,0.2644603607171081,47,ok
exter_cond,1.277638296501224,0.21730586603542534,47,ok
lot_shape,1.2306045056784911,0.18739124114562533,47,ok
has_fence,1.1970313284307592,0.16459997641753965,47,ok
functional,1.182271548783653,0.1541706293881283,47,ok
bsmt_fin_type_2,1.1747529925853792,0.14875722274244685,47,ok
has_pool,1.1024727948166098,0.09294813921794365,47,ok
misc_val,1.03869211446094,0.03725080216000343,47,ok
